https://www.bikotbi.org/ontology/BIKO_000182,https://www.bikotbi.org/ontology/BIKO_000059,https://www.bikotbi.org/ontology/BIKO_000171,https://www.bikotbi.org/ontology/BIKO_000178,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000086,https://www.bikotbi.org/ontology/BIKO_000062,https://www.bikotbi.org/ontology/BIKO_000063,https://www.bikotbi.org/ontology/BIKO_000157,https://www.bikotbi.org/ontology/BIKO_000184,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000181,https://www.bikotbi.org/ontology/BIKO_000028
,40 - 50 kg,https://doi.org/10.1097/SHK.0b013e3182574778,PMID:22575994,"Jin G, DeMoya MA, Duggan M, Knightly T, Mejaddam AY, Hwabejire J, Lu J, Smith WM, Kasotakis G, Velmahos GC, Socrate S, Alam HB. Traumatic brain injury and hemorrhagic shock: evaluation of different resuscitation strategies in a large animal model of combined insults. Shock. 2012 Jul;38(1):49-56. doi: 10.1097\/SHK.0b013e3182574778.","Jin G, DeMoya MA, Duggan M, Knightly T, Mejaddam AY, Hwabejire J, Lu J, Smith WM, Kasotakis G, Velmahos GC, Socrate S, Alam HB. Traumatic brain injury and hemorrhagic shock: evaluation of different resuscitation strategies in a large animal model of combined insults. Shock. 2012 Jul;38(1):49-56. doi: 10.1097\/SHK.0b013e3182574778.",female,female,pig,Yorkshire,Yorkshire,,4,"Jin G, DeMoya MA, Duggan M, Knightly T, Mejaddam AY, Hwabejire J, Lu J, Smith WM, Kasotakis G, Velmahos GC, Socrate S, Alam HB. Traumatic brain injury and hemorrhagic shock: evaluation of different resuscitation strategies in a large animal model of combined insults. Shock. 2012 Jul;38(1):49-56. doi: 10.1097\/SHK.0b013e3182574778.","Jin G, DeMoya MA, Duggan M, Knightly T, Mejaddam AY, Hwabejire J, Lu J, Smith WM, Kasotakis G, Velmahos GC, Socrate S, Alam HB. Traumatic brain injury and hemorrhagic shock: evaluation of different resuscitation strategies in a large animal model of combined insults. Shock. 2012 Jul;38(1):49-56. doi: 10.1097\/SHK.0b013e3182574778.",female,female,Electromagnetic controlled cortical impactor,Controlled cortical impact model
,200 - 250 g,https://doi.org/10.1007/s12035-017-0551-1,PMID:28421542,"Xiong LL, Hu Y, Zhang P, Zhang Z, Li LH, Gao GD, Zhou XF, Wang TH. Neural Stem Cell Transplantation Promotes Functional Recovery from Traumatic Brain Injury via Brain Derived Neurotrophic Factor-Mediated NeuroplasticityMol Neurobiol. 2018 Mar;55(3):2696-2711. doi: 10.1007\/s12035-017-0551-1. Epub 2017 Apr 18.","Xiong LL, Hu Y, Zhang P, Zhang Z, Li LH, Gao GD, Zhou XF, Wang TH. Neural Stem Cell Transplantation Promotes Functional Recovery from Traumatic Brain Injury via Brain Derived Neurotrophic Factor-Mediated NeuroplasticityMol Neurobiol. 2018 Mar;55(3):2696-2711. doi: 10.1007\/s12035-017-0551-1. Epub 2017 Apr 18.",female,female,rat,Sprague-Dawley,Sprague-Dawley,,7,"Xiong LL, Hu Y, Zhang P, Zhang Z, Li LH, Gao GD, Zhou XF, Wang TH. Neural Stem Cell Transplantation Promotes Functional Recovery from Traumatic Brain Injury via Brain Derived Neurotrophic Factor-Mediated NeuroplasticityMol Neurobiol. 2018 Mar;55(3):2696-2711. doi: 10.1007\/s12035-017-0551-1. Epub 2017 Apr 18.","Xiong LL, Hu Y, Zhang P, Zhang Z, Li LH, Gao GD, Zhou XF, Wang TH. Neural Stem Cell Transplantation Promotes Functional Recovery from Traumatic Brain Injury via Brain Derived Neurotrophic Factor-Mediated NeuroplasticityMol Neurobiol. 2018 Mar;55(3):2696-2711. doi: 10.1007\/s12035-017-0551-1. Epub 2017 Apr 18.",female,female,Electromagnetic controlled cortical impactor,Weight-drop model
,"15 - 20 g, 33 - 40 g",https://doi.org/10.1007/s00381-012-1932-4,PMID:23089934,"Adelson PD, Fellows-Mayle W, Kochanek PM, Dixon CE. Morris water maze function and histologic characterization of two age-at-injury experimental models of controlled cortical impact in the immature ratChilds Nerv Syst. 2013 Jan;29(1):43-53. doi: 10.1007\/s00381-012-1932-4. Epub 2012 Oct 23.","Adelson PD, Fellows-Mayle W, Kochanek PM, Dixon CE. Morris water maze function and histologic characterization of two age-at-injury experimental models of controlled cortical impact in the immature ratChilds Nerv Syst. 2013 Jan;29(1):43-53. doi: 10.1007\/s00381-012-1932-4. Epub 2012 Oct 23.",male,male,rat,Sprague-Dawley,Sprague-Dawley,,8,"Adelson PD, Fellows-Mayle W, Kochanek PM, Dixon CE. Morris water maze function and histologic characterization of two age-at-injury experimental models of controlled cortical impact in the immature ratChilds Nerv Syst. 2013 Jan;29(1):43-53. doi: 10.1007\/s00381-012-1932-4. Epub 2012 Oct 23.","Adelson PD, Fellows-Mayle W, Kochanek PM, Dixon CE. Morris water maze function and histologic characterization of two age-at-injury experimental models of controlled cortical impact in the immature ratChilds Nerv Syst. 2013 Jan;29(1):43-53. doi: 10.1007\/s00381-012-1932-4. Epub 2012 Oct 23.",male,male,pneumatically controlled cortical impact device,Controlled cortical impact model
,,https://doi.org/10.1002/jnr.24099,PMID:28675644,"Kim Y, Fu AH, Tucker LB, Liu J, McCabe JT. Characterization of controlled cortical impact devices by high-speed image analysisJ Neurosci Res. 2018 Apr;96(4):501-511. doi: 10.1002\/jnr.24099. Epub 2017 Jul 4.","Kim Y, Fu AH, Tucker LB, Liu J, McCabe JT. Characterization of controlled cortical impact devices by high-speed image analysisJ Neurosci Res. 2018 Apr;96(4):501-511. doi: 10.1002\/jnr.24099. Epub 2017 Jul 4.",male,male,mouse,C57BL,C57BL/6J,Impact On,11,"Kim Y, Fu AH, Tucker LB, Liu J, McCabe JT. Characterization of controlled cortical impact devices by high-speed image analysisJ Neurosci Res. 2018 Apr;96(4):501-511. doi: 10.1002\/jnr.24099. Epub 2017 Jul 4.","Kim Y, Fu AH, Tucker LB, Liu J, McCabe JT. Characterization of controlled cortical impact devices by high-speed image analysisJ Neurosci Res. 2018 Apr;96(4):501-511. doi: 10.1002\/jnr.24099. Epub 2017 Jul 4.",male,male,Electromagnetic controlled cortical impactor,Controlled cortical impact model
,,https://doi.org/10.1016/0165-0270(91)90104-8,PMID:1787745,"Dixon CE, Clifton GL, Lighthall JW, Yaghmai AA, Hayes RL. A controlled cortical impact model of traumatic brain injury in the ratJ Neurosci Methods. 1991 Oct;39(3):253-62. doi: 10.1016\/0165-0270(91)90104-8.","Dixon CE, Clifton GL, Lighthall JW, Yaghmai AA, Hayes RL. A controlled cortical impact model of traumatic brain injury in the ratJ Neurosci Methods. 1991 Oct;39(3):253-62. doi: 10.1016\/0165-0270(91)90104-8.",No sex reported,No sex reported,rat,Sprague-Dawley,Sprague-Dawley,,12,"Dixon CE, Clifton GL, Lighthall JW, Yaghmai AA, Hayes RL. A controlled cortical impact model of traumatic brain injury in the ratJ Neurosci Methods. 1991 Oct;39(3):253-62. doi: 10.1016\/0165-0270(91)90104-8.","Dixon CE, Clifton GL, Lighthall JW, Yaghmai AA, Hayes RL. A controlled cortical impact model of traumatic brain injury in the ratJ Neurosci Methods. 1991 Oct;39(3):253-62. doi: 10.1016\/0165-0270(91)90104-8.",No sex reported,No sex reported,pneumatically controlled impactor,Controlled cortical impact model
,300 - 440 g,https://doi.org/10.1016/j.brainres.2005.12.106,PMID:16473332,"Statler KD, Alexander H, Vagni V, Holubkov R, Dixon CE, Clark RS, Jenkins L, Kochanek PM. Isoflurane exerts neuroprotective actions at or near the time of severe traumatic brain injuryBrain Res. 2006 Mar 3;1076(1):216-24. doi: 10.1016\/j.brainres.2005.12.106. Epub 2006 Feb 13.","Statler KD, Alexander H, Vagni V, Holubkov R, Dixon CE, Clark RS, Jenkins L, Kochanek PM. Isoflurane exerts neuroprotective actions at or near the time of severe traumatic brain injuryBrain Res. 2006 Mar 3;1076(1):216-24. doi: 10.1016\/j.brainres.2005.12.106. Epub 2006 Feb 13.",male,male,rat,Sprague-Dawley,Sprague-Dawley,,13,"Statler KD, Alexander H, Vagni V, Holubkov R, Dixon CE, Clark RS, Jenkins L, Kochanek PM. Isoflurane exerts neuroprotective actions at or near the time of severe traumatic brain injuryBrain Res. 2006 Mar 3;1076(1):216-24. doi: 10.1016\/j.brainres.2005.12.106. Epub 2006 Feb 13.","Statler KD, Alexander H, Vagni V, Holubkov R, Dixon CE, Clark RS, Jenkins L, Kochanek PM. Isoflurane exerts neuroprotective actions at or near the time of severe traumatic brain injuryBrain Res. 2006 Mar 3;1076(1):216-24. doi: 10.1016\/j.brainres.2005.12.106. Epub 2006 Feb 13.",male,male,pneumatically controlled cortical impact device,Controlled cortical impact model
,28 - 32 g,https://doi.org/10.1016/j.brainres.2014.08.026,PMID:25148711,"Ji X, Zhang W, Zhang L, Zhang L, Zhang Y, Tang P. Inhibition of p21-activated kinase 1 by IPA-3 attenuates secondary injury after traumatic brain injury in miceBrain Res. 2014 Oct 17;1585:13-22. doi: 10.1016\/j.brainres.2014.08.026. Epub 2014 Aug 20.","Ji X, Zhang W, Zhang L, Zhang L, Zhang Y, Tang P. Inhibition of p21-activated kinase 1 by IPA-3 attenuates secondary injury after traumatic brain injury in miceBrain Res. 2014 Oct 17;1585:13-22. doi: 10.1016\/j.brainres.2014.08.026. Epub 2014 Aug 20.",male,male,mouse,ICR,ICR,,14,"Ji X, Zhang W, Zhang L, Zhang L, Zhang Y, Tang P. Inhibition of p21-activated kinase 1 by IPA-3 attenuates secondary injury after traumatic brain injury in miceBrain Res. 2014 Oct 17;1585:13-22. doi: 10.1016\/j.brainres.2014.08.026. Epub 2014 Aug 20.","Ji X, Zhang W, Zhang L, Zhang L, Zhang Y, Tang P. Inhibition of p21-activated kinase 1 by IPA-3 attenuates secondary injury after traumatic brain injury in miceBrain Res. 2014 Oct 17;1585:13-22. doi: 10.1016\/j.brainres.2014.08.026. Epub 2014 Aug 20.",male,male,weight-drop device,Weight-drop model
Young adult,29 - 31 g,https://doi.org/10.1016/j.expneurol.2006.04.013,PMID:16814284,"Thompson SN, Gibson TR, Thompson BM, Deng Y, Hall ED. Relationship of calpain-mediated proteolysis to the expression of axonal and synaptic plasticity markers following traumatic brain injury in miceExp Neurol. 2006 Sep;201(1):253-65. doi: 10.1016\/j.expneurol.2006.04.013. Epub 2006 Jun 30.","Thompson SN, Gibson TR, Thompson BM, Deng Y, Hall ED. Relationship of calpain-mediated proteolysis to the expression of axonal and synaptic plasticity markers following traumatic brain injury in miceExp Neurol. 2006 Sep;201(1):253-65. doi: 10.1016\/j.expneurol.2006.04.013. Epub 2006 Jun 30.",male,male,mouse,CF-1,CF-1,,15,"Thompson SN, Gibson TR, Thompson BM, Deng Y, Hall ED. Relationship of calpain-mediated proteolysis to the expression of axonal and synaptic plasticity markers following traumatic brain injury in miceExp Neurol. 2006 Sep;201(1):253-65. doi: 10.1016\/j.expneurol.2006.04.013. Epub 2006 Jun 30.","Thompson SN, Gibson TR, Thompson BM, Deng Y, Hall ED. Relationship of calpain-mediated proteolysis to the expression of axonal and synaptic plasticity markers following traumatic brain injury in miceExp Neurol. 2006 Sep;201(1):253-65. doi: 10.1016\/j.expneurol.2006.04.013. Epub 2006 Jun 30.",male,male,pneumatically controlled impactor device,Controlled cortical impact model
,,https://doi.org/10.1016/j.bbr.2015.03.010,PMID:25771208,"Mychasiuk R, Hehar H, Esser MJ. A mild traumatic brain injury (mTBI) induces secondary attention-deficit hyperactivity disorder-like symptomology in young ratsBehav Brain Res. 2015 Jun 1;286:285-92. doi: 10.1016\/j.bbr.2015.03.010. Epub 2015 Mar 11.","Mychasiuk R, Hehar H, Esser MJ. A mild traumatic brain injury (mTBI) induces secondary attention-deficit hyperactivity disorder-like symptomology in young ratsBehav Brain Res. 2015 Jun 1;286:285-92. doi: 10.1016\/j.bbr.2015.03.010. Epub 2015 Mar 11.","male, female","male, female",rat,Sprague-Dawley,Sprague-Dawley,,16,"Mychasiuk R, Hehar H, Esser MJ. A mild traumatic brain injury (mTBI) induces secondary attention-deficit hyperactivity disorder-like symptomology in young ratsBehav Brain Res. 2015 Jun 1;286:285-92. doi: 10.1016\/j.bbr.2015.03.010. Epub 2015 Mar 11.","Mychasiuk R, Hehar H, Esser MJ. A mild traumatic brain injury (mTBI) induces secondary attention-deficit hyperactivity disorder-like symptomology in young ratsBehav Brain Res. 2015 Jun 1;286:285-92. doi: 10.1016\/j.bbr.2015.03.010. Epub 2015 Mar 11.","male, female","male, female",weight-drop device,Weight-drop model
,18 - 20 g,https://doi.org/10.1016/j.neulet.2014.10.037,PMID:25449871,"Songarj P, Luh C, Staib-Lasarzik I, Engelhard K, Moosmann B, Thal SC. The antioxidative, non-psychoactive tricyclic phenothiazine reduces brain damage after experimental traumatic brain injury in miceNeurosci Lett. 2015 Jan 1;584:253-8. doi: 10.1016\\/j.neulet.2014.10.037. Epub 2014 Oct 28.","Songarj P, Luh C, Staib-Lasarzik I, Engelhard K, Moosmann B, Thal SC. The antioxidative, non-psychoactive tricyclic phenothiazine reduces brain damage after experimental traumatic brain injury in miceNeurosci Lett. 2015 Jan 1;584:253-8. doi: 10.1016\\/j.neulet.2014.10.037. Epub 2014 Oct 28.",male,male,mouse,C57BL,C57BL/6,,17,"Songarj P, Luh C, Staib-Lasarzik I, Engelhard K, Moosmann B, Thal SC. The antioxidative, non-psychoactive tricyclic phenothiazine reduces brain damage after experimental traumatic brain injury in miceNeurosci Lett. 2015 Jan 1;584:253-8. doi: 10.1016\\/j.neulet.2014.10.037. Epub 2014 Oct 28.","Songarj P, Luh C, Staib-Lasarzik I, Engelhard K, Moosmann B, Thal SC. The antioxidative, non-psychoactive tricyclic phenothiazine reduces brain damage after experimental traumatic brain injury in miceNeurosci Lett. 2015 Jan 1;584:253-8. doi: 10.1016\\/j.neulet.2014.10.037. Epub 2014 Oct 28.",male,male,"Controlled cortical impact device, pneumatically controlled impactor",Controlled cortical impact model
